ENM_NFT_ADDRESS,DC_CREATOR_ADDRESS,DC_CREATOR_IS_CONTRACT_ADDRESS,TX_CREATOR_ADDRESS
0x09e6e0881324122d5a13950482237c2545e53dc2,0x3f47e408ddbb2d3c59744b1984f0dc859d22ee4c,0,0x3f47e408ddbb2d3c59744b1984f0dc859d22ee4c
0x6392abd9a9e5293682adede87d8bc72b7921c2cc,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0xa0167795a31303d74bc3ca9302832557c1620155
0xe36e1bc6bfda9002394a335964f9a0f8aeecd786,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0xbb0b3aca009839748cd1c1f9af0ad7bdaaeb6c39
0x1df07326447e16e13b4ebff6ed0afdf9db64a308,0x7354936bc7a72c8baf5a2f9262e70a52c427be4a,1,0xf9fd229c2f3082e433b169c3a0e920725386ac92
0x7c073cc4faa174bde4a631140678b1990ab79501,0x14ce3934db4b0c80e596377547e084eddd385c25,0,0x14ce3934db4b0c80e596377547e084eddd385c25
0x00c995b2bdab80ef471d353815ad66583a54e23b,0x19478179ef8bb7c4792a4041903080e097d137dd,1,0x6ed9582049640d94199c3e78358ba1c56a62d16e
0x32623164f0fba8ac46193982247b851630ca3b11,0x6925b22105664506d2d7e449b9cede78cbb1ecfe,0,0x6925b22105664506d2d7e449b9cede78cbb1ecfe
0x7ce5dc91850d891677328884e50202edd76950aa,0x71563a34aa686421f27dfe590092f0a732148583,0,0x71563a34aa686421f27dfe590092f0a732148583
0x74c37482613cf52128a0b383ae1cab1415ab7404,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0xd68ba9f5690b2c121c047ecab296179e668d4165
0x6d0f425adc5a61f78a43460c5929b84f3e71e67e,0x1b021719443145ad308acd09625dde603c334dd9,0,0x1b021719443145ad308acd09625dde603c334dd9
0x6112d87127847202151b9fe48ea0e2704fa428a1,0x1b021719443145ad308acd09625dde603c334dd9,0,0x1b021719443145ad308acd09625dde603c334dd9
0x5fed65ba2d3ea82e12dd3c0ac2017a2e8b71e6ae,0x5af835b9257e41b98e83c7299ea6516c3543e6e0,0,0x5af835b9257e41b98e83c7299ea6516c3543e6e0
