CREATOR_ADDRESS,N_NFT_CONTRACTS_CREATED,CREATOR_IS_CONTRACT_ADDRESS
0xd28bcd7d5ab026eb72d42ea66ee9a0a67a43e7af,1,0
0x02e264b2d83c61c3983513d57eaaf6ed32918a7b,2,0
0x63620a51611cd692ae39b2824f661116b318c9e0,1,0
0xe49bb02982d97053492abea682371465c427ecef,1,0
0x2e9cd7641dc0e8dc6eff5a48e6d9cee3c091deaa,1,0
0xdafeb4f8084fed235d0ad234f460f0f36ecf23c5,2,0
0x6dc03a62a704641316fc5c9c773d851820e4bac0,3,0
0x8075746d700f4954ca7e0952c49729d1a1d44243,1,0
0x1d15a2d8d660bf24bdf9ddec0f94cfc5d6d5ab39,1,0
0x0cfdcbce1a49194d219e156a8a2db34aad1d1dac,1,0
0xa5e32144effdc76c1435aee01f499b7a6d0c018b,2,0
0x10888eef3be65d8ec8303b57079e698236808b0b,1,0
0x877b380a5252e84f8a4bd37e2149ceb40f6058f1,3,0
0x531c07aec48c0e1c80de889ffcd39bf74fc30a5c,1,0
0x3819660cb4d48b192b4973cb8323d6cb1404d930,1,0
0xc358522c2eb462e4886f4c5a53e5e380a616b63a,1,0
0xd131a948d773adbc052a979ed079e50fd3563c9e,1,0
0xa9e0f1fddc02db59b879f7286a4433a20670df6c,3,0
0x4e662c534e060eb5c56efbd33538ded192f2eaa9,1,0
0x12458f85a2f5edba82d9c4abe66db3c6803443a9,7,0
0xdc58666f99b4c1ca36bfa6311b3b7fbdb5f08ca3,1,0
0x710779047f287c0c9c20bc575fa1ad005b2bbc4f,1,0
0xd32898ca6a2bbb7eec8769329ba317c4d999dde7,1,0
0xb28ebdd23e18690f9365a7c4b1651ece7bdc13a8,1,0
0x4ddc034cd5294049570d64d08193c746d4d0a271,2,1
0x2c333bd1316ce1af9ebf017a595d6f8ab5f6bd1a,2,1
0x97be94250aef1df307749afaed27f9bc8ab911db,6,1
0x6fa5b0b7061b99129294a3ef727ec43792efed17,1,1
0xd1a6333d72afa6937bb09b8d09441391ff85b43e,1,0
0x1f2205315a42132f1f1b0dc8fe2d9cbb4f5fc18d,1,0
0x872e5925d1fb3a63176129d9b576dd7c196a05ff,2,0
0x66187b4b96390880419bab3075373230b2430a5a,1,0
0x18dd4e0eb8699ea4fee238de41ecfb95e32272f8,1,0
0x6c3ed935b2caa5d60e1c0cc9bda0ca30f41f6e1b,1,0
0xf75c90d6d5d34d6906d61cfd5e759cfc7ab4eea5,1,0
0x65a7a1cc03b05d8060f4e464ea79693ace125245,1,0
0x717e45dd608ac22175b52f30578558892927362b,1,0
0xf740a4d6b0d35e3289af8f3a6767836744c3377a,1,0
0xc234516a3d66e1c71f652c4754e59fc0346c270b,1,0
0x7cb8c06443aded7a0e51ff66efb2421d3b025465,1,0
0xc8557c93305f58ce6733c0f9fbd3413c8ebe4dc6,1,0
0xd29fd08842152e79216bb4b877e68f013a04f830,1,0
0x98229a914d556728f9350d5a2401b0f8192456ba,1,0
0x7fd17ada30306df0ac390fb2f4f96032297750cc,1,0
0x6e2f6130b31df274283fb21744ad18836abcacee,1,0
