DS,N_PROJECTS_WITH_FIRST_MINT
2021-08-14 00:00:00.000,58
2021-08-15 00:00:00.000,40
2021-08-16 00:00:00.000,50
2021-08-17 00:00:00.000,59
2021-08-18 00:00:00.000,50
2021-08-19 00:00:00.000,52
2021-08-20 00:00:00.000,48
2021-08-21 00:00:00.000,46
2021-08-22 00:00:00.000,73
2021-08-23 00:00:00.000,55
2021-08-24 00:00:00.000,42
2021-08-25 00:00:00.000,68
2021-08-26 00:00:00.000,58
2021-08-27 00:00:00.000,61
2021-08-28 00:00:00.000,86
2021-08-29 00:00:00.000,61
2021-08-30 00:00:00.000,64
2021-08-31 00:00:00.000,85
2021-09-01 00:00:00.000,107
2021-09-02 00:00:00.000,105
2021-09-03 00:00:00.000,128
2021-09-04 00:00:00.000,121
2021-09-05 00:00:00.000,116
2021-09-06 00:00:00.000,108
2021-09-07 00:00:00.000,143
2021-09-08 00:00:00.000,139
2021-09-09 00:00:00.000,114
2021-09-10 00:00:00.000,98
2021-09-11 00:00:00.000,97
2021-09-12 00:00:00.000,90
2021-09-13 00:00:00.000,79
2021-09-14 00:00:00.000,79
2021-09-15 00:00:00.000,83
2021-09-16 00:00:00.000,81
2021-09-17 00:00:00.000,95
2021-09-18 00:00:00.000,85
2021-09-19 00:00:00.000,87
2021-09-20 00:00:00.000,76
2021-09-21 00:00:00.000,89
2021-09-22 00:00:00.000,113
2021-09-23 00:00:00.000,97
2021-09-24 00:00:00.000,102
2021-09-25 00:00:00.000,105
2021-09-26 00:00:00.000,84
2021-09-27 00:00:00.000,87
2021-09-28 00:00:00.000,92
2021-09-29 00:00:00.000,88
2021-09-30 00:00:00.000,88
2021-10-01 00:00:00.000,98
2021-10-02 00:00:00.000,91
2021-10-03 00:00:00.000,81
2021-10-04 00:00:00.000,73
2021-10-05 00:00:00.000,60
2021-10-06 00:00:00.000,78
2021-10-07 00:00:00.000,72
2021-10-08 00:00:00.000,89
2021-10-09 00:00:00.000,109
2021-10-10 00:00:00.000,86
2021-10-11 00:00:00.000,70
2021-10-12 00:00:00.000,94
2021-10-13 00:00:00.000,70
2021-10-14 00:00:00.000,78
2021-10-15 00:00:00.000,103
2021-10-16 00:00:00.000,119
2021-10-17 00:00:00.000,90
2021-10-18 00:00:00.000,87
2021-10-19 00:00:00.000,107
2021-10-20 00:00:00.000,124
2021-10-21 00:00:00.000,148
2021-10-22 00:00:00.000,107
2021-10-23 00:00:00.000,91
2021-10-24 00:00:00.000,67
2021-10-25 00:00:00.000,91
2021-10-26 00:00:00.000,80
2021-10-27 00:00:00.000,81
2021-10-28 00:00:00.000,83
2021-10-29 00:00:00.000,88
2021-10-30 00:00:00.000,85
2021-10-31 00:00:00.000,99
2021-11-01 00:00:00.000,91
2021-11-02 00:00:00.000,47
2021-11-03 00:00:00.000,64
2021-11-04 00:00:00.000,57
2021-11-05 00:00:00.000,76
2021-11-06 00:00:00.000,59
2021-11-07 00:00:00.000,59
2021-11-08 00:00:00.000,73
2021-11-09 00:00:00.000,47
2021-11-10 00:00:00.000,58
2021-11-11 00:00:00.000,68
2021-11-12 00:00:00.000,85
2021-11-13 00:00:00.000,66
2021-11-14 00:00:00.000,56
2021-11-15 00:00:00.000,69
2021-11-16 00:00:00.000,78
2021-11-17 00:00:00.000,119
2021-11-18 00:00:00.000,58
2021-11-19 00:00:00.000,66
2021-11-20 00:00:00.000,73
2021-11-21 00:00:00.000,78
2021-11-22 00:00:00.000,64
2021-11-23 00:00:00.000,80
2021-11-24 00:00:00.000,82
2021-11-25 00:00:00.000,75
2021-11-26 00:00:00.000,77
2021-11-27 00:00:00.000,99
2021-11-28 00:00:00.000,84
2021-11-29 00:00:00.000,98
2021-11-30 00:00:00.000,98
2021-12-01 00:00:00.000,149
2021-12-02 00:00:00.000,130
2021-12-03 00:00:00.000,125
2021-12-04 00:00:00.000,106
2021-12-05 00:00:00.000,105
2021-12-06 00:00:00.000,115
2021-12-07 00:00:00.000,144
2021-12-08 00:00:00.000,145
2021-12-09 00:00:00.000,142
2021-12-10 00:00:00.000,157
2021-12-11 00:00:00.000,161
2021-12-12 00:00:00.000,172
2021-12-13 00:00:00.000,153
2021-12-14 00:00:00.000,178
2021-12-15 00:00:00.000,159
2021-12-16 00:00:00.000,169
2021-12-17 00:00:00.000,170
2021-12-18 00:00:00.000,163
2021-12-19 00:00:00.000,157
2021-12-20 00:00:00.000,148
2021-12-21 00:00:00.000,183
2021-12-22 00:00:00.000,181
2021-12-23 00:00:00.000,162
2021-12-24 00:00:00.000,153
2021-12-25 00:00:00.000,98
2021-12-26 00:00:00.000,139
2021-12-27 00:00:00.000,144
2021-12-28 00:00:00.000,135
2021-12-29 00:00:00.000,96
2021-12-30 00:00:00.000,136
2021-12-31 00:00:00.000,155
2022-01-01 00:00:00.000,143
2022-01-02 00:00:00.000,95
2022-01-03 00:00:00.000,101
2022-01-04 00:00:00.000,104
2022-01-05 00:00:00.000,104
2022-01-06 00:00:00.000,141
2022-01-07 00:00:00.000,117
2022-01-08 00:00:00.000,164
2022-01-09 00:00:00.000,139
2022-01-10 00:00:00.000,121
2022-01-11 00:00:00.000,150
2022-01-12 00:00:00.000,135
2022-01-13 00:00:00.000,167
2022-01-14 00:00:00.000,151
2022-01-15 00:00:00.000,235
2022-01-16 00:00:00.000,208
2022-01-17 00:00:00.000,189
2022-01-18 00:00:00.000,227
2022-01-19 00:00:00.000,247
2022-01-20 00:00:00.000,215
2022-01-21 00:00:00.000,198
2022-01-22 00:00:00.000,174
2022-01-23 00:00:00.000,211
2022-01-24 00:00:00.000,195
2022-01-25 00:00:00.000,217
2022-01-26 00:00:00.000,192
