DS,N_CONTRACTS_CREATED
2021-10-22 00:00:00.000,10273
2021-10-23 00:00:00.000,10182
2021-10-24 00:00:00.000,9184
2021-10-25 00:00:00.000,8196
2021-10-26 00:00:00.000,7725
2021-10-27 00:00:00.000,10200
2021-10-28 00:00:00.000,7075
2021-10-29 00:00:00.000,9614
2021-10-30 00:00:00.000,7709
2021-10-31 00:00:00.000,14916
2021-11-01 00:00:00.000,8823
2021-11-02 00:00:00.000,9415
2021-11-03 00:00:00.000,11066
2021-11-04 00:00:00.000,15218
2021-11-05 00:00:00.000,22562
2021-11-06 00:00:00.000,14666
2021-11-07 00:00:00.000,11128
2021-11-08 00:00:00.000,10749
2021-11-09 00:00:00.000,9473
2021-11-10 00:00:00.000,9593
2021-11-11 00:00:00.000,9938
2021-11-12 00:00:00.000,9385
2021-11-13 00:00:00.000,9635
2021-11-14 00:00:00.000,10612
2021-11-15 00:00:00.000,16347
2021-11-16 00:00:00.000,11395
2021-11-17 00:00:00.000,14165
2021-11-18 00:00:00.000,9352
2021-11-19 00:00:00.000,10162
2021-11-20 00:00:00.000,18743
2021-11-21 00:00:00.000,9194
2021-11-22 00:00:00.000,11152
2021-11-23 00:00:00.000,13403
2021-11-24 00:00:00.000,11336
2021-11-25 00:00:00.000,11814
2021-11-26 00:00:00.000,13029
2021-11-27 00:00:00.000,10485
2021-11-28 00:00:00.000,9692
2021-11-29 00:00:00.000,14915
2021-11-30 00:00:00.000,13577
2021-12-01 00:00:00.000,14483
2021-12-02 00:00:00.000,15069
2021-12-03 00:00:00.000,12883
2021-12-04 00:00:00.000,12574
2021-12-05 00:00:00.000,24520
2021-12-06 00:00:00.000,18672
2021-12-07 00:00:00.000,18801
2021-12-08 00:00:00.000,18129
2021-12-09 00:00:00.000,14064
2021-12-10 00:00:00.000,17926
2021-12-11 00:00:00.000,16533
2021-12-12 00:00:00.000,15942
2021-12-13 00:00:00.000,17084
2021-12-14 00:00:00.000,23624
2021-12-15 00:00:00.000,14227
2021-12-16 00:00:00.000,18491
2021-12-17 00:00:00.000,13999
2021-12-18 00:00:00.000,17007
2021-12-19 00:00:00.000,16283
2021-12-20 00:00:00.000,18310
2021-12-21 00:00:00.000,22969
2021-12-22 00:00:00.000,18123
2021-12-23 00:00:00.000,13930
2021-12-24 00:00:00.000,13687
2021-12-25 00:00:00.000,9665
2021-12-26 00:00:00.000,15729
2021-12-27 00:00:00.000,12665
2021-12-28 00:00:00.000,12377
2021-12-29 00:00:00.000,10857
2021-12-30 00:00:00.000,14037
2021-12-31 00:00:00.000,13034
2022-01-01 00:00:00.000,12625
2022-01-02 00:00:00.000,13119
2022-01-03 00:00:00.000,14547
2022-01-04 00:00:00.000,16624
2022-01-05 00:00:00.000,17531
2022-01-06 00:00:00.000,10833
2022-01-07 00:00:00.000,13878
2022-01-08 00:00:00.000,14849
2022-01-09 00:00:00.000,12072
2022-01-10 00:00:00.000,10016
2022-01-11 00:00:00.000,12918
2022-01-12 00:00:00.000,15478
2022-01-13 00:00:00.000,13856
2022-01-14 00:00:00.000,13416
2022-01-15 00:00:00.000,15111
2022-01-16 00:00:00.000,14874
2022-01-17 00:00:00.000,14441
2022-01-18 00:00:00.000,16738
2022-01-19 00:00:00.000,18144
2022-01-20 00:00:00.000,15086
2022-01-21 00:00:00.000,11627
